CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87485169;Aytré;O;N;538000;1;135+989;Aytré;Charente-Maritime;30000003045;e032f51a-19bf-11e5-82ff-01fc64e0362d;382741.2800000012;6567993.181899998;-1.111441379649935;46.13739588840414;46.1373958884, -1.11144137965
87485318;Aiffres;O;N;578000;1;0+000;Aiffres;Deux-Sèvres;30000002808;d99e9bda-6667-11e3-89ff-01f464e0362d;436645.0759000033;6581534.171399999;-0.42144752662806034;46.28233694979594;46.2823369498, -0.421447526628
87485003;La Rochelle-Ville;O;O;538000;1;140+728;;;30000004758;d98107a2-6667-11e3-89ff-01f464e0362d;;;;;
87486134;St-Denis-lès-Lucs;N;N;530000;1;57+448;St-Denis-la-Chevasse;Vendée;30000008980;e553b012-6667-11e3-a7ff-01f464e0362d;363145.7937999964;6646719.4386;-1.421950910459935;46.835720729998556;46.83572073, -1.42195091046
87486241;Les-Magnils-Reigniers;N;N;530000;1;108+531;Les Magnils-Reigniers;Vendée;30000008985;e5534d24-6667-11e3-a7ff-01f464e0362d;376215.0744000003;6605885.852600001;-1.2220897253266914;46.47503468896541;46.475034689, -1.22208972533
87486142;Belleville-Vendée;N;O;530000;1;63+023;Belleville-sur-Vie;Vendée;30000003168;d9e39988-6667-11e3-89ff-01f464e0362d;361886.98349999636;6641517.641199999;-1.434609949205068;46.788322662319686;46.7883226623, -1.43460994921
87485714;Mazières-Verruyes;O;N;500000;1;385+400;Verruyes;Deux-Sèvres;30000008978;d99347b4-6667-11e3-89ff-01f464e0362d;446547.2708000019;6608979.7379;-0.30788168035523295;46.53304788280817;46.5330478828, -0.307881680355
87486225;Champ-St-Père;N;N;530000;1;97+056;Le Champ-St-Père;Vendée;30000008983;d9b24510-6667-11e3-89ff-01f464e0362d;367283.87879999727;6610630.727000002;-1.3417180262922948;46.513338292969514;46.513338293, -1.34171802629
87485680;Échiré;N;N;500000;1;405+566;Échiré;Deux-Sèvres;30000004022;e552425e-6667-11e3-a7ff-01f464e0362d;438383.003700003;6593062.396400001;-0.405351893787269;46.38672461918229;46.3867246192, -0.405351893787
87486258;Luçon;N;O;530000;1;112+987;Luçon;Vendée;30000005262;d9725230-6667-11e3-89ff-01f464e0362d;380337.01910000294;6604408.7643;-1.1674252272879222;46.46372375938148;46.4637237594, -1.16742522729
